,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Arraial do Cabo,20,BR,1619361067,78,-22.9661,-42.0278,80.6,2.3
1,Sarangani,2,PH,1619361196,78,5.4033,125.4636,83.21,15.86
2,Praia da Vitória,40,PT,1619361197,72,38.7333,-27.0667,64.99,17.34
3,Ketchikan,1,US,1619361199,70,55.3422,-131.6461,37.4,4.85
4,Laguna,1,US,1619361200,71,38.421,-121.4238,54.0,5.75
5,Hong Kong,100,HK,1619361123,92,22.2855,114.1577,75.0,20.33
6,Provideniya,99,RU,1619361202,96,64.3833,-173.3,32.74,2.57
7,Nelson Bay,18,AU,1619360613,100,-32.7167,152.15,55.99,3.44
8,Tiksi,99,RU,1619361205,96,71.6872,128.8694,22.42,5.23
9,Tilichiki,100,RU,1619361055,97,60.4667,166.1,25.99,2.86
10,Katsuura,100,JP,1619361132,32,35.1333,140.3,57.99,8.99
11,Ferkessédougou,42,CI,1619361208,22,9.6,-5.2,103.82,3.38
12,Bandarbeyla,37,SO,1619361209,74,9.4942,50.8122,83.91,11.25
13,Beira,20,MZ,1619361210,69,-19.8436,34.8389,84.0,11.41
14,Ushuaia,75,AR,1619361212,70,-54.8,-68.3,44.6,11.5
15,Marabu,20,MY,1619361213,89,4.4148,114.0089,78.8,2.3
16,Huinan,18,CN,1619361214,32,42.6225,126.2614,45.48,3.96
17,Albany,100,US,1619361006,71,42.6001,-73.9662,53.01,2.55
18,Sitka,20,US,1619360579,70,57.0531,-135.33,44.6,4.99
19,Bluff,85,NZ,1619361218,81,-46.6,168.3333,42.01,10.0
20,Mar del Plata,40,AR,1619360922,68,-38.0023,-57.5575,64.4,18.41
21,Narganá,83,PA,1619361220,70,9.4428,-78.5906,83.97,9.15
22,Saint Paul Harbor,90,US,1619360996,81,57.79,-152.4072,39.2,10.36
23,Altay,0,CN,1619361222,41,47.8667,88.1167,32.09,8.66
24,Kaitangata,36,NZ,1619361223,78,-46.2817,169.8464,39.0,3.0
25,Tullow,11,IE,1619361225,51,52.8003,-6.7369,59.0,5.99
26,Bethel,100,US,1619361226,93,41.3712,-73.414,48.99,5.86
27,Malbork,90,PL,1619361227,55,54.0359,19.0266,48.0,11.12
28,Punta Arenas,40,CL,1619361090,76,-53.15,-70.9167,46.4,10.36
29,Masunga,0,BW,1619361229,15,-20.6246,27.4488,86.0,6.91
30,Jardim,99,BR,1619361231,89,-21.4803,-56.1381,71.6,5.35
31,Sydney,47,AU,1619361035,86,-33.8679,151.2073,57.99,4.0
32,San Patricio,1,US,1619361233,69,28.017,-97.5169,75.2,6.91
33,Svetlaya,47,RU,1619361234,71,46.5389,138.3297,31.42,6.08
34,Atuona,68,PF,1619361236,76,-9.8,-139.0333,79.66,20.49
35,Castro,99,BR,1619361237,64,-24.7911,-50.0119,68.92,6.51
36,Fortuna,90,US,1619361035,87,40.5982,-124.1573,45.0,12.66
37,Grand Gaube,100,MU,1619360602,81,-20.0064,57.6608,78.01,10.0
38,Cadillac,90,US,1619361240,74,44.2519,-85.4012,32.0,10.36
39,Port Elizabeth,0,ZA,1619361241,64,-33.918,25.5701,69.8,4.61
40,Geraldton,1,AU,1619361003,82,-28.7667,114.6,64.4,3.44
41,Saint George,1,US,1619361011,27,37.1041,-113.5841,64.99,8.05
42,Vaini,75,TO,1619361245,100,-21.2,-175.2,73.4,1.14
43,Tsuruoka,68,JP,1619361246,51,38.7217,139.8217,45.28,18.45
44,Yar-Sale,100,RU,1619361247,97,66.8333,70.8333,32.34,10.45
45,Adrar,4,MR,1619361249,9,20.5022,-10.0711,98.8,9.44
46,Cape Town,0,ZA,1619361201,64,-33.9258,18.4232,72.0,14.97
47,Azul,5,AR,1619361251,62,-36.777,-59.8585,63.43,9.17
48,Hashtrūd,4,IR,1619361252,12,37.4779,47.0508,71.33,12.75
49,Longyearbyen,40,SJ,1619361054,80,78.2186,15.6401,23.0,12.66
50,Cherskiy,98,RU,1619361254,98,68.75,161.3,0.88,4.23
51,Bilibino,100,RU,1619361256,96,68.0546,166.4372,18.39,1.48
52,Saint-Philippe,75,RE,1619361082,73,-21.3585,55.7679,78.8,25.32
53,Arrondissement d'Issoudun,0,FR,1619361258,35,47.0,1.8333,73.4,17.27
54,Khatanga,100,RU,1619361259,80,71.9667,102.5,11.17,22.59
55,Zhalantun,100,CN,1619361260,31,48.0,122.7167,50.95,8.66
56,Mataura,39,NZ,1619361262,81,-46.1927,168.8643,42.01,10.0
57,Dikson,100,RU,1619361263,90,73.5069,80.5464,16.95,10.02
58,Keuruu,90,FI,1619361264,93,62.2667,24.7,36.0,12.66
59,Yulara,0,AU,1619361161,39,-25.2406,130.9889,60.8,5.75
60,Tigil',100,RU,1619361190,91,57.8,158.6667,27.95,6.64
61,Langreo,98,ES,1619361268,77,43.2957,-5.6842,64.99,1.99
62,Zhuhai,40,CN,1619361269,94,22.2769,113.5678,75.2,19.57
63,Torbay,20,CA,1619361270,49,47.6666,-52.7314,51.01,21.85
64,Puerto Ayora,0,EC,1619360992,83,-0.7393,-90.3518,78.8,11.5
65,Okhotsk,4,RU,1619361272,76,59.3833,143.3,17.96,6.08
66,Burgos,90,ES,1619361274,100,42.3394,-3.7079,50.0,9.22
67,Luena,40,AO,1619361275,57,-11.7833,19.9167,80.6,9.22
68,Saldanha,100,ZA,1619361276,73,-33.0117,17.9442,68.0,9.22
69,Huanren,58,CN,1619361278,36,41.2647,125.3667,46.11,2.39
70,Touros,75,BR,1619361279,62,-5.1989,-35.4608,86.0,11.5
71,Esperance,3,AU,1619361280,55,-33.8667,121.9,64.4,11.5
72,Bredasdorp,100,ZA,1619361281,77,-34.5322,20.0403,62.6,2.3
73,Busselton,2,AU,1619361013,91,-33.65,115.3333,60.01,4.45
74,Aklavik,40,CA,1619361284,86,68.2191,-135.0107,19.4,9.22
75,The Valley,40,AI,1619361285,65,18.217,-63.0578,84.2,14.97
76,Tuktoyaktuk,75,CA,1619360997,85,69.4541,-133.0374,10.4,10.36
